        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN  5.977e+01  6.019e+01  6.059e+01  6.097e+01  6.135e+01  6.171e+01  6.205e+01  6.239e+01  6.271e+01  6.303e+01  6.333e+01  6.361e+01  6.389e+01  6.415e+01  6.441e+01  6.467e+01  6.489e+01  6.513e+01  6.535e+01  6.557e+01  6.579e+01  6.597e+01  6.617e+01  6.637e+01  6.653e+01  6.671e+01  6.687e+01  6.705e+01  6.719e+01  6.735e+01  6.749e+01  6.763e+01  6.777e+01  6.789e+01  6.801e+01  6.813e+01  6.825e+01  6.837e+01  6.847e+01  6.857e+01  6.867e+01  6.877e+01  6.887e+01  6.895e+01  6.903e+01  6.913e+01  6.921e+01  6.927e+01  6.935e+01  6.941e+01  6.949e+01  6.955e+01  6.961e+01  6.967e+01  6.971e+01  6.977e+01  6.981e+01  6.987e+01  6.991e+01  6.995e+01  6.997e+01  7.001e+01  7.005e+01  7.007e+01  7.009e+01  7.011e+01  7.013e+01  7.013e+01  7.015e+01  7.015e+01  7.015e+01  7.015e+01  7.015e+01  7.013e+01  7.011e+01  7.011e+01  7.007e+01  7.005e+01  7.001e+01  6.997e+01  6.993e+01  6.987e+01  6.981e+01  6.975e+01  6.967e+01  6.959e+01  6.949e+01  6.941e+01  6.929e+01  6.917e+01  6.905e+01  6.891e+01  6.875e+01  6.861e+01  6.843e+01        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN
        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN  5.973e+01  6.017e+01  6.059e+01  6.097e+01  6.135e+01  6.173e+01  6.207e+01  6.241e+01  6.275e+01  6.307e+01  6.337e+01  6.367e+01  6.395e+01  6.423e+01  6.449e+01  6.475e+01  6.499e+01  6.525e+01  6.547e+01  6.569e+01  6.591e+01  6.611e+01  6.631e+01  6.649e+01  6.669e+01  6.687e+01  6.703e+01  6.719e+01  6.735e+01  6.751e+01  6.765e+01  6.779e+01  6.793e+01  6.807e+01  6.819e+01  6.831e+01  6.843e+01  6.855e+01  6.867e+01  6.877e+01  6.887e+01  6.897e+01  6.907e+01  6.917e+01  6.925e+01  6.935e+01  6.943e+01  6.951e+01  6.959e+01  6.965e+01  6.973e+01  6.979e+01  6.987e+01  6.993e+01  6.999e+01  7.003e+01  7.009e+01  7.015e+01  7.019e+01  7.025e+01  7.029e+01  7.033e+01  7.037e+01  7.039e+01  7.043e+01  7.045e+01  7.049e+01  7.051e+01  7.053e+01  7.053e+01  7.055e+01  7.057e+01  7.057e+01  7.057e+01  7.057e+01  7.057e+01  7.055e+01  7.055e+01  7.053e+01  7.051e+01  7.049e+01  7.045e+01  7.041e+01  7.037e+01  7.033e+01  7.027e+01  7.021e+01  7.013e+01  7.005e+01  6.997e+01  6.987e+01  6.977e+01  6.965e+01  6.953e+01  6.941e+01  6.925e+01  6.911e+01  6.893e+01  6.875e+01        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN
        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN  6.011e+01  6.053e+01  6.091e+01  6.131e+01  6.169e+01  6.207e+01  6.243e+01  6.275e+01  6.309e+01  6.341e+01  6.371e+01  6.401e+01  6.429e+01  6.455e+01  6.483e+01  6.509e+01  6.533e+01  6.555e+01  6.579e+01  6.601e+01  6.621e+01  6.641e+01  6.661e+01  6.679e+01  6.697e+01  6.715e+01  6.731e+01  6.749e+01  6.763e+01  6.779e+01  6.793e+01  6.807e+01  6.821e+01  6.835e+01  6.847e+01  6.859e+01  6.871e+01  6.883e+01  6.893e+01  6.905e+01  6.915e+01  6.925e+01  6.935e+01  6.943e+01  6.953e+01  6.961e+01  6.969e+01  6.977e+01  6.985e+01  6.993e+01  7.001e+01  7.007e+01  7.015e+01  7.021e+01  7.027e+01  7.033e+01  7.039e+01  7.043e+01  7.049e+01  7.053e+01  7.059e+01  7.063e+01  7.067e+01  7.071e+01  7.075e+01  7.077e+01  7.081e+01  7.083e+01  7.087e+01  7.089e+01  7.091e+01  7.093e+01  7.093e+01  7.095e+01  7.095e+01  7.095e+01  7.095e+01  7.095e+01  7.095e+01  7.095e+01  7.093e+01  7.091e+01  7.089e+01  7.085e+01  7.083e+01  7.079e+01  7.073e+01  7.069e+01  7.063e+01  7.057e+01  7.049e+01  7.041e+01  7.033e+01  7.023e+01  7.011e+01  6.999e+01  6.987e+01  6.973e+01  6.959e+01  6.941e+01  6.925e+01        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN
        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN  5.999e+01  6.043e+01  6.085e+01  6.127e+01  6.165e+01  6.203e+01  6.239e+01  6.273e+01  6.307e+01  6.341e+01  6.373e+01  6.403e+01  6.431e+01  6.459e+01  6.487e+01  6.511e+01  6.537e+01  6.561e+01  6.585e+01  6.607e+01  6.629e+01  6.649e+01  6.669e+01  6.689e+01  6.707e+01  6.725e+01  6.741e+01  6.759e+01  6.775e+01  6.791e+01  6.805e+01  6.819e+01  6.833e+01  6.847e+01  6.859e+01  6.873e+01  6.885e+01  6.897e+01  6.907e+01  6.919e+01  6.929e+01  6.939e+01  6.949e+01  6.959e+01  6.967e+01  6.977e+01  6.985e+01  6.995e+01  7.003e+01  7.011e+01  7.017e+01  7.025e+01  7.031e+01  7.039e+01  7.045e+01  7.051e+01  7.057e+01  7.063e+01  7.069e+01  7.075e+01  7.079e+01  7.085e+01  7.089e+01  7.095e+01  7.099e+01  7.103e+01  7.107e+01  7.109e+01  7.113e+01  7.117e+01  7.119e+01  7.121e+01  7.125e+01  7.127e+01  7.127e+01  7.129e+01  7.131e+01  7.131e+01  7.131e+01  7.131e+01  7.131e+01  7.131e+01  7.131e+01  7.129e+01  7.129e+01  7.127e+01  7.123e+01  7.121e+01  7.117e+01  7.113e+01  7.109e+01  7.103e+01  7.097e+01  7.091e+01  7.083e+01  7.075e+01  7.065e+01  7.055e+01  7.043e+01  7.031e+01  7.017e+01  7.003e+01  6.987e+01  6.971e+01  6.953e+01        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN
        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN  5.985e+01  6.031e+01  6.075e+01  6.117e+01  6.157e+01  6.195e+01  6.233e+01  6.271e+01  6.305e+01  6.337e+01  6.371e+01  6.403e+01  6.431e+01  6.461e+01  6.489e+01  6.515e+01  6.541e+01  6.565e+01  6.589e+01  6.611e+01  6.633e+01  6.655e+01  6.675e+01  6.695e+01  6.713e+01  6.733e+01  6.749e+01  6.767e+01  6.783e+01  6.799e+01  6.815e+01  6.829e+01  6.843e+01  6.857e+01  6.869e+01  6.883e+01  6.895e+01  6.907e+01  6.919e+01  6.931e+01  6.941e+01  6.951e+01  6.961e+01  6.971e+01  6.981e+01  6.989e+01  6.999e+01  7.007e+01  7.015e+01  7.025e+01  7.031e+01  7.039e+01  7.047e+01  7.055e+01  7.061e+01  7.067e+01  7.075e+01  7.081e+01  7.087e+01  7.093e+01  7.097e+01  7.103e+01  7.109e+01  7.113e+01  7.119e+01  7.123e+01  7.127e+01  7.131e+01  7.135e+01  7.139e+01  7.143e+01  7.145e+01  7.149e+01  7.151e+01  7.155e+01  7.157e+01  7.159e+01  7.161e+01  7.163e+01  7.163e+01  7.165e+01  7.165e+01  7.165e+01  7.165e+01  7.165e+01  7.165e+01  7.165e+01  7.163e+01  7.161e+01  7.159e+01  7.157e+01  7.153e+01  7.149e+01  7.145e+01  7.141e+01  7.135e+01  7.129e+01  7.121e+01  7.113e+01  7.105e+01  7.095e+01  7.085e+01  7.073e+01  7.059e+01  7.047e+01  7.031e+01  7.015e+01  6.997e+01        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN
        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN  6.015e+01  6.061e+01  6.103e+01  6.145e+01  6.187e+01  6.225e+01  6.263e+01  6.297e+01  6.333e+01  6.367e+01  6.397e+01  6.429e+01  6.459e+01  6.487e+01  6.515e+01  6.541e+01  6.567e+01  6.591e+01  6.613e+01  6.637e+01  6.659e+01  6.679e+01  6.699e+01  6.719e+01  6.737e+01  6.755e+01  6.773e+01  6.789e+01  6.805e+01  6.821e+01  6.835e+01  6.851e+01  6.865e+01  6.879e+01  6.891e+01  6.903e+01  6.915e+01  6.927e+01  6.939e+01  6.951e+01  6.961e+01  6.971e+01  6.981e+01  6.991e+01  7.001e+01  7.011e+01  7.019e+01  7.027e+01  7.035e+01  7.043e+01  7.051e+01  7.059e+01  7.067e+01  7.073e+01  7.081e+01  7.087e+01  7.095e+01  7.101e+01  7.107e+01  7.113e+01  7.119e+01  7.123e+01  7.129e+01  7.135e+01  7.139e+01  7.145e+01  7.149e+01  7.153e+01  7.157e+01  7.161e+01  7.165e+01  7.169e+01  7.173e+01  7.175e+01  7.179e+01  7.181e+01  7.185e+01  7.187e+01  7.189e+01  7.191e+01  7.193e+01  7.195e+01  7.195e+01  7.197e+01  7.197e+01  7.197e+01  7.197e+01  7.197e+01  7.197e+01  7.195e+01  7.195e+01  7.193e+01  7.191e+01  7.187e+01  7.185e+01  7.181e+01  7.175e+01  7.171e+01  7.165e+01  7.159e+01  7.151e+01  7.143e+01  7.133e+01  7.123e+01  7.113e+01  7.099e+01  7.087e+01  7.073e+01  7.057e+01  7.039e+01  7.021e+01        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN
        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN  5.997e+01  6.045e+01  6.089e+01  6.133e+01  6.173e+01  6.215e+01  6.253e+01  6.289e+01  6.325e+01  6.359e+01  6.391e+01  6.423e+01  6.455e+01  6.483e+01  6.513e+01  6.539e+01  6.565e+01  6.589e+01  6.615e+01  6.637e+01  6.659e+01  6.681e+01  6.701e+01  6.721e+01  6.739e+01  6.759e+01  6.777e+01  6.793e+01  6.811e+01  6.825e+01  6.841e+01  6.857e+01  6.871e+01  6.885e+01  6.897e+01  6.911e+01  6.923e+01  6.935e+01  6.947e+01  6.959e+01  6.969e+01  6.979e+01  6.989e+01  6.999e+01  7.009e+01  7.019e+01  7.027e+01  7.037e+01  7.045e+01  7.053e+01  7.061e+01  7.069e+01  7.077e+01  7.085e+01  7.091e+01  7.099e+01  7.105e+01  7.111e+01  7.119e+01  7.125e+01  7.131e+01  7.137e+01  7.141e+01  7.147e+01  7.153e+01  7.157e+01  7.163e+01  7.167e+01  7.173e+01  7.177e+01  7.181e+01  7.185e+01  7.189e+01  7.193e+01  7.197e+01  7.201e+01  7.203e+01  7.207e+01  7.209e+01  7.213e+01  7.215e+01  7.217e+01  7.219e+01  7.221e+01  7.223e+01  7.225e+01  7.225e+01  7.225e+01  7.227e+01  7.227e+01  7.227e+01  7.227e+01  7.225e+01  7.225e+01  7.223e+01  7.221e+01  7.219e+01  7.217e+01  7.213e+01  7.209e+01  7.205e+01  7.199e+01  7.193e+01  7.185e+01  7.179e+01  7.169e+01  7.159e+01  7.149e+01  7.137e+01  7.125e+01  7.111e+01  7.095e+01  7.079e+01  7.061e+01        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN
        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN  5.973e+01  6.023e+01  6.069e+01  6.115e+01  6.157e+01  6.197e+01  6.239e+01  6.277e+01  6.315e+01  6.349e+01  6.385e+01  6.417e+01  6.447e+01  6.479e+01  6.507e+01  6.535e+01  6.561e+01  6.587e+01  6.611e+01  6.635e+01  6.659e+01  6.681e+01  6.701e+01  6.723e+01  6.741e+01  6.761e+01  6.779e+01  6.797e+01  6.813e+01  6.829e+01  6.845e+01  6.859e+01  6.875e+01  6.889e+01  6.903e+01  6.915e+01  6.929e+01  6.941e+01  6.951e+01  6.963e+01  6.975e+01  6.985e+01  6.997e+01  7.007e+01  7.017e+01  7.025e+01  7.035e+01  7.045e+01  7.053e+01  7.061e+01  7.069e+01  7.077e+01  7.085e+01  7.093e+01  7.101e+01  7.107e+01  7.115e+01  7.121e+01  7.127e+01  7.135e+01  7.141e+01  7.147e+01  7.153e+01  7.157e+01  7.163e+01  7.169e+01  7.175e+01  7.179e+01  7.185e+01  7.189e+01  7.195e+01  7.199e+01  7.203e+01  7.207e+01  7.211e+01  7.215e+01  7.219e+01  7.223e+01  7.227e+01  7.229e+01  7.233e+01  7.235e+01  7.239e+01  7.241e+01  7.243e+01  7.245e+01  7.247e+01  7.249e+01  7.251e+01  7.253e+01  7.253e+01  7.253e+01  7.255e+01  7.255e+01  7.255e+01  7.255e+01  7.253e+01  7.253e+01  7.251e+01  7.249e+01  7.247e+01  7.243e+01  7.239e+01  7.235e+01  7.231e+01  7.225e+01  7.219e+01  7.211e+01  7.203e+01  7.195e+01  7.185e+01  7.173e+01  7.161e+01  7.149e+01  7.133e+01  7.117e+01  7.101e+01  7.081e+01        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN
        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN  5.999e+01  6.047e+01  6.093e+01  6.137e+01  6.181e+01  6.223e+01  6.261e+01  6.301e+01  6.337e+01  6.373e+01  6.405e+01  6.439e+01  6.469e+01  6.499e+01  6.529e+01  6.555e+01  6.581e+01  6.607e+01  6.633e+01  6.655e+01  6.679e+01  6.699e+01  6.721e+01  6.741e+01  6.761e+01  6.779e+01  6.797e+01  6.813e+01  6.831e+01  6.847e+01  6.863e+01  6.877e+01  6.891e+01  6.905e+01  6.919e+01  6.931e+01  6.945e+01  6.957e+01  6.967e+01  6.979e+01  6.991e+01  7.001e+01  7.011e+01  7.021e+01  7.031e+01  7.041e+01  7.049e+01  7.059e+01  7.067e+01  7.075e+01  7.083e+01  7.091e+01  7.099e+01  7.107e+01  7.115e+01  7.121e+01  7.129e+01  7.135e+01  7.141e+01  7.149e+01  7.155e+01  7.161e+01  7.167e+01  7.173e+01  7.177e+01  7.183e+01  7.189e+01  7.195e+01  7.199e+01  7.205e+01  7.209e+01  7.213e+01  7.219e+01  7.223e+01  7.227e+01  7.231e+01  7.235e+01  7.239e+01  7.243e+01  7.247e+01  7.251e+01  7.253e+01  7.257e+01  7.259e+01  7.263e+01  7.265e+01  7.267e+01  7.271e+01  7.273e+01  7.275e+01  7.275e+01  7.277e+01  7.279e+01  7.279e+01  7.281e+01  7.281e+01  7.281e+01  7.281e+01  7.281e+01  7.279e+01  7.279e+01  7.277e+01  7.275e+01  7.273e+01  7.269e+01  7.265e+01  7.261e+01  7.255e+01  7.249e+01  7.243e+01  7.235e+01  7.227e+01  7.219e+01  7.207e+01  7.197e+01  7.183e+01  7.169e+01  7.153e+01  7.137e+01  7.119e+01        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN
        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN  6.021e+01  6.069e+01  6.115e+01  6.159e+01  6.203e+01  6.245e+01  6.283e+01  6.321e+01  6.357e+01  6.393e+01  6.427e+01  6.459e+01  6.489e+01  6.521e+01  6.549e+01  6.575e+01  6.601e+01  6.627e+01  6.651e+01  6.673e+01  6.697e+01  6.719e+01  6.739e+01  6.757e+01  6.777e+01  6.795e+01  6.813e+01  6.829e+01  6.847e+01  6.863e+01  6.877e+01  6.893e+01  6.907e+01  6.921e+01  6.933e+01  6.947e+01  6.959e+01  6.971e+01  6.981e+01  6.993e+01  7.005e+01  7.015e+01  7.025e+01  7.035e+01  7.045e+01  7.053e+01  7.063e+01  7.071e+01  7.079e+01  7.089e+01  7.097e+01  7.105e+01  7.111e+01  7.119e+01  7.127e+01  7.133e+01  7.141e+01  7.147e+01  7.155e+01  7.161e+01  7.167e+01  7.173e+01  7.179e+01  7.185e+01  7.191e+01  7.197e+01  7.201e+01  7.207e+01  7.213e+01  7.217e+01  7.223e+01  7.227e+01  7.231e+01  7.237e+01  7.241e+01  7.245e+01  7.249e+01  7.253e+01  7.257e+01  7.261e+01  7.265e+01  7.269e+01  7.273e+01  7.275e+01  7.279e+01  7.283e+01  7.285e+01  7.287e+01  7.291e+01  7.293e+01  7.295e+01  7.297e+01  7.299e+01  7.301e+01  7.303e+01  7.303e+01  7.305e+01  7.305e+01  7.305e+01  7.305e+01  7.305e+01  7.305e+01  7.303e+01  7.303e+01  7.301e+01  7.299e+01  7.297e+01  7.293e+01  7.289e+01  7.285e+01  7.279e+01  7.273e+01  7.267e+01  7.259e+01  7.249e+01  7.239e+01  7.229e+01  7.217e+01  7.203e+01  7.189e+01  7.171e+01  7.155e+01        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN
